model,mse_hedging_error,net_pnl_mean,net_pnl_std,net_pnl_q05,net_pnl_cvar05,mean_transaction_cost,mean_turnover
Asymmetric loss,0.06722405035666393,-0.2689414393708489,0.13987166929268566,-0.5162631892372725,-0.6402830719486576,0.048876353175665195,2.443817615509033
Baseline (MSE),0.06689838202824139,-0.2710146352713143,0.14120295220211768,-0.5390641364183109,-0.6738555093181791,0.05085045876944426,2.54252290725708
