model,mse_gross_error,mse_net_error,mean_net_error,std_net_error,net_q05,net_cvar05,mean_transaction_cost,mean_turnover
transaction_cost_aware,0.0710584968328476,0.08695074915885925,-0.25090306997299194,0.15491415560245514,-0.5320311784744263,-0.6677467226982117,0.03165905550122261,1.5829527378082275
baseline_mse,0.06689837574958801,0.0933871939778328,-0.27101460099220276,0.14120294153690338,-0.539064347743988,-0.6738554239273071,0.050850458443164825,2.54252290725708
asymmetric_loss,0.06722403317689896,0.09189357608556747,-0.2689414322376251,0.13987165689468384,-0.5162637233734131,-0.6402829885482788,0.04887634888291359,2.443817615509033
